ID,Name,Review,Netflix,Prime,Year,Director,Lead,Acting,Story,Execution,Profundity,Overall,Poster,Genre,Links,Image,Trailer
35,"I, Tonya","A powerhouse of a film. The reason this movie went under the radar of many despite the star power of Margot Robbie would be because of potentially portraying Tonya Harding, a controversial figure herself in a light which many might not agree with. But simply no one can take away the absolute peach of acting by Margot. Looking back at this movie, no one comes to mind who could better project a strong, rough red neck who despite having her life riddled with abuse continue to keep up her bravado and march on. The scene where she tries to put a smile on her face despite having an immense desire to cry is enough to make Joaquin Pheonix proud! That is the level of acting we are talking. If you know the actual controversy surrounding Tonya Harding, this movie won't provide much of an insight, but if not, this seems like a good place to dip your feet into one of the shocking moments of figure skating.",0,0,2018,Craig Gillespie,"Margot Robbie, Sebastian Stan",3.9,2.4,2.3,1.5,2.52,tonya.jpg,true-story,https://xmovies8.si/watch-i-tonya-2017-1080p.14613-hd-online-free/watching.html,https://gdurl.com/aQ-E,https://www.youtube-nocookie.com/embed/zjDZwOJlxNE
36,Mulholland Drive,"What an acid trip of a movie this is! As it is typical of David Lynch's movies the story starts without any fuss or giving any time to settle and often relies on the viewer to piece ones and twos together rather than explain it explicitly. But they manner the script completely flips by the end seems almost there are two stories going on in the movie! It shows how easy it is to loose your mind in the challenging environment of hollywood. It is the stuff dreams and dillusion are made of and is the movie which we are trying to decipher to this date even! I would like to say here that Lynch tried to pull off what Kubrick did with 2001; leving the story open-ended. Although he did not reach the same level as Kubrick's masterpiece did in that manner, I would still say, he did one hell of a job. I strongly suggest people to read more about it's ending once you've seen it as it definitely ain't easy to get it all in one go. But once you do, man-oh-man, your mind would blow apart and slowly realize what a masterpiece from Lynch this is!",0,0,2001,David Lynch,"Naomi Watts, Laura Harring",2.5,4.1,3.7,2.2,3.2,mulholland.jpg,psychopath,https://xmovies8.si/watch-mulholland-drive-2001-1080p.13104-hd-online-free/watching.html,https://gdurl.com/7MGn,https://www.youtube-nocookie.com/embed/jbZJ487oJlY
37,Moonrise Kingdom,"Ah, Wes Anderson and his warm and poignant movies full of his idiosyncratic views are always a fun to watch. As his trademark this movie too is something out of a child's story book. There are wide angle shots with almost no sudden cuts, often ridiculous use of CGI (knowingly so as to emphasise the feel of watching a fantasy story unfold!) with the characters being innocent and whimsical. The movie starts with a shade of The Blue Lagoon to it's tail and feels a bit cheeky. But it wears you down slowly to the point that you would feel dissapointed that it ends as it offers an escape from your regular movies. I wouldn't go so far as to say that it is at the level of The Grand Budapest Hotel (that was one-in-a-million movie) but you could certainly see how this movie proved to be the penultimate step towards horning his cinematic skills for THAT masterpiece. All-in-all, don't give this movie too much thought, just sit back, relax and let Wes take you on a journey to the fairy tale land.",0,0,2012,Wes Anderson,"Kara Heyward, Jared Gilman",2.3,3.4,3.9,2.6,3.1,moonrise.jpg,lighthearted,https://xmovies8.si/watch-moonrise-kingdom-2012-1080p.11846-hd-online-free/watching.html?__cf_chl_jschl_tk__=8c6c5123ab20ddf313a96e97536d84a42d98e971-1588612470-0-AWCBlqfIoKZrxHSkWsdtOjYJZuGhZDsmIxZGDMTiP3FJJvHNqs1esP-v6zntCMcigi0Ex9HDVLkSJeb342-Jqa5HIl8tm5KK9urwG0QFyEU9TBYA372_9CVAhcfDae95LhBtytbW3t1SRiV98YToS_aET3tPan3F3bET-z-PG8EKL1ldKL1NNojRG-BIHSfrWylgM7mDCrlizEJTLJpFaPnsr_5Ht0kTkgT49yqsp2hGtQ4JdHqmILbeJD3s6HNoIsaVMGuds8V22s16cTglJLU8dlPosUDA98KZyefMUKDGaRKiIy7JloUrn-0JW0SlwHKORdFPf7Tc6NPS62GLxxHKY8h31yZlhXp6WN12JsNE,https://gdurl.com/lq_D,https://www.youtube-nocookie.com/embed/_eOI3AamSm8
38,"Synecdoche, New York","""It is a play about dating. It's not a play just about death. It's about everything. Dating, birth, death, life, family...."". As with his previous films, Adaptation and The Eternal Sunshine of the Spotless Mind, I had the uneasy feeling that one single idea was being extruded to an excessive length, but this movie's crazy emotional intensity and ambition really punched my lights out. For his directorial debut, the screenwriter Charlie Kaufman has outdone himself, for good. Truly a master piece, with motifs hidden in dialogues that blow your mind, yet seem so familiar. The film itself seems to be alive and adapting (and it is!), just like human life. It's an experience of someone’s (everyone’s) thoughts, misery, views like never before. Obviously a must watch.",0,0,2008,Charlie Kaufman,Philip Seymour Hoffman,3.1,3.3,3.4,2.8,3.2,synecdocheNY.jpg,lighthearted,https://xmovies8.si/watch-synecdoche-new-york-2008-1080p-hd-online-free/watching.html,https://gdurl.com/TdkX,https://www.youtube-nocookie.com/embed/fvr2wDrLRfs
39,12 Angry Men,"It feels almost sureal that a movie which was directed almost 50 years ago about a court room drama still resonates as on of the finest films of the 20th century. It features how 12 jurors are tasked with giving the final verdict on whether a boy is guilty or not after looking at the evidence. The case seema fairly straight forward but one of them feels that they aren't looking at it closely. What follows is his efforts to look at the case objectively and eventually convinece the other 11 men the other way around. The filming takes completely in one room which makes it very hard for the director to not make the film feel static or even induce a feeling of claustrophobia within the viewers. Each of 12 men were associated with a distinct traight who preformed to the level that it makes the movie feel not just a discussion with 12 average Joes even though their background was such! Overall, if you can get over the fact that it's a BnW film, I suggest you do give it a watch. On other hand, even if you aren't, do watch it. Rotten Tomatoes haven't given it a 100% rating for nothing!",0,0,1957,Sidney Lumet,"Henry Fonda, Lee J. Cobb",3.6,4,3.4,3.8,3.7,12 angry men.jpg,drama,https://xmovies8.si/watch-12-angry-men-1957-1080p-hd-online-free/watching.html,https://gdurl.com/yKJF,https://www.youtube.com/embed/2L4IhbF2WK0
40,The Lighthouse,"Set in the early 20th century, this is a movie of two men who are stuck at a lighthouse island and their gradual descent into madness. Robert Eggers very clearly flexes his impeccable sense of direction here. It creates an eerie sense of unsettling while keeping you drawn to the fantastic setting. What boosts this prospect is that the movie is shot in square frame and is in BnW. As all greate psychological thrillers, this too has a quite bit of symbolism which like I suggest in my previous reviews encourage you to read more about the movie after it ends to actually feel the message that the story writer wanted to send across. But what truely makes this a masterpiece is the oscar worthy acting by both Williem Defoe and Robert Pattinson (who may have have proved his mettle as an actor with this movie). They could easily have won an oscar (Defoe should've gotten for supporting actor imo) had it not been for a certain Joker. Overall this is powerfull watch which would dazzle you with it's acting, setting and symbolism rather than the story itself. Reserve it for those cold winter evenings and watch as it acts out the insanities and depravities of man when forced into isolation (hey!).",0,0,2019,Robert Eggers,"Robert Pattinson, Williem Defoe",4.4,3.2,4,2,3.4,lighthouse.jpg,psychopath,https://xmovies8.si/watch-the-lighthouse-2019-1080p.94833-hd-online-free/watching.html,https://gdurl.com/yl9x,https://www.youtube.com/embed/Hyag7lR8CPA
41,The Shinning,"What more can be said about this movie! I mean seriously! One of the finnest of Kubrick's and that is a tall order to accomplish even by Kubrick himself! Everything is perfect about this movie. The setting - The Overlook during the winters, with it's narrow corridors and hypnotising carpets, check. Creepy side characters - the twins, naked old lady, check. And the acting - oh man, I don't think this movie would've got even half the recognition it gets had it not been the terrific acting by Jack Nicolson. The perfect level of insanity has been displayed by Nicolson with emphasis on each and every muscles of the face! The bar scene is enough to school some of the greats today! The Shining has set the benchmark for all psychological thrillers to come. But if you really want to take a feel of the story, I suggest you read the book (the film no doubt stands strong in it's own rights but still couldn't capture the true insanity that Jack Torrence faced as well as the book did). This movie has to be on your watch-before-you-die list!",0,0,1980,Stanley Kubrick,"Jack Nicholson, Shelly Duvall",4.3,3.9,3.7,2,3.5,shining.jpg,psychopath,https://xmovies8.si/watch-the-shining-1980-1080p.81838-hd-online-free/watching.html,https://gdurl.com/VS1D,https://www.youtube.com/embed/S014oGZiSdI
42,Two Popes,"It takes a lot of guts to make a contemporary drama these days as they don't bode well with the public who wants a fast paced and gripping stories. Yet this movie stands out tall and strong. Led by the powerful starcast of Anthony Hopkins and Jonathan Pryce, it is the story of a dialogue discussion between a pope and a Cardinal with differing world views and how they reach to a conclusion. It won't provide you with any logical persuasion to watch it till the end, but the calm manner in which it has been depicted makes you almost float towards the end. It is a lighthearted drama which you could watch without having to put much of a thought into it. Not a must watch, but if you have a desire to watch something different, this could hit the palette just right!",1,0,2019,Fernando Meirelles,"Anthony Hopkins, Jonathan Pryce",3.5,2.3,2.4,2.7,2.7,2 popes.jpg,drama,https://xmovies8.si/watch-the-two-popes-2019-1080p-hd-online-free/watching.html,https://gdurl.com/oAQe,https://www.youtube.com/embed/11bBIbsNSh0
43,Watchmen,"This movie has a love and hate relationship within it's viewer base. Those who haven't read the actual comic by Alan Moore, won't truly appreciate how wonderful this story is! I myself felt that Zack Snyder has done 100% justice to this movie by incorporating each and every element that's there in the comic and brought it to the movie. But that's what I felt prevented it from reaching the heights the movie was supposed to with such a spectacular story as one simply can't bring out the beauty that the comic exudes with its charm onto a screen. But Snyder gets full credits for it's execution. This movie may not have the best ratings but I've still included it here as a homage to the actual Watchmen comic book which was far ahead of it's time and is quite accurately regarded as the greatest comic ever written. So yeah, this one is more of a promotion for the comic book rather than the movie! But once you've read it, this movie is definitely a lot of fun to watch!",0,0,2009,Zack Snyder,"Patrick Wilson, Carla Gugino",2.3,3.6,3.2,1.3,2.6,watchmen.png,thriller,https://xmovies8.si/watch-watchmen-2009-1080p.11413-hd-online-free/watching.html,https://gdurl.com/cHnoX,https://www.youtube.com/embed/wdiHDzT6YbQ
44,Gone Girl,"David Fincher is at the top of his game in this rollercoster of a movie! Surgically precise, we come to experience top drawer acting  from Ben Affleck and of course, the lead Rosamund Pike. This psychological thriller drama has everything in it as we come to expect from a psycho thriller - a bit bent character (very craft fully played as the estranged wife of Nick Dune (Ben Affleck) by Rosamund Pike), a guersome murder of an innocent bystander to spice things up, the often comical and hypocritical portrayal of the society to set the eerie environment. And of course, as is a trademark of all Fincher's movies- an ending without a closure often leaving you hanging but with a sense of high! Fincher has set the benchmark for psycho thriller out there and it seems unlikely that anyone would surpass it any time soon.",1,0,2014,David Fincher,"Rosamund Pike, Ben Affleck",3.3,3.5,2.8,2.4,3,gone girl.jpg,psychopath,https://xmovies8.si/watch-gone-girl-2014-1080p.84950-hd-online-free/watching.html,https://gdurl.com/bRF5,https://www.youtube.com/embed/Ym3LB0lOJ0o
45,The Social Network,"Biographic movies are a tough nut to crack. If you overdoo it- it becomes a propaganda film; underdoo it and it feels like a boring documentry. But David Fincher absolutely nails it in this movie! As the name suggest, this is a biopic on Mark Zuckerberg and how he started Facebook out of a dorm room.This movie represents the epitome of modern fact-based filmaking. It is fast paced, entertaining and the best part is that if focuses more on the life of Zuckerberg rather than Facebook which makes a far better topic for discussing. Jesse Eisenberg plays the role to perfection and I can't imagine a better person to portray the eccentric entreprenuer that Zukerberg is.",0,1,2010,David Fincher,"Jesse Eisenberg, Andrew Garfield",2.8,2.7,2.4,2.4,2.6,social network.jpg,true-story,https://xmovies8.si/watch-the-social-network-2010-1080p.33330-hd-online-free/watching.html,https://gdurl.com/qv2G,https://www.youtube.com/embed/lB95KLmpLR4
46,Crystal Swan,"Before you start reading this review, just so you know, this movie is a 100% rated on rotten tomatoes - which says a lot about this film and raises the question of why it went under everyone's radar!? This is a belarussian film set in the 1980s where an aspiring DJ plans to go to US to escape her boring routine and do something she actually likes. But a small typo in her visa application creates problems and she has to go some distance (literally!) to ensure that everything functions smoothly. A pretty straight-forward plot. But what makes this an exquisite watch is that the director has absolutely nailed in showcasing the hoplessness and desperation in one's eyes when he/she senses an oportunity of a better life which seems to slipping from their grasp. As a foreign viewer, it totally bowls you over giving insight into the daily lives of the smaller towns in the eastern block of Europe. And credit where it is deserved- the acting by the lead actress is phenomenal and she totally encapsules what the director wanted to showcase. Despite this tremendous performance, it still surprises me why is she so unknown! But all in all this is a must watch film and I don't throw that word around lightly! The specialty about this is that it proves that the mundanity of everyday life can provide a remedy to the everyday wretchedness. Simply stunning.",0,0,2018,Darya Zyuk,"Alina Nasibullina ,Yuiry Borisov",3.8,3.4,2.6,3.5,3.35,crystal.jpg,international,,https://gdurl.com/F8nB,https://www.youtube.com/embed/XTzmQeFooeQ
47,Hereditry,"Wow, this movie so horrifying yet satisfying! Nothing less is expected from Ari Aster tho. What differentiates this movie from other typical horror genere is that it actually has a credibe storyline and not just a random family moving into a haunted house with no care. Aster very skillfully inducts human emotions such as grief, trauma, yearning for normalancy with the horror elements which gives it a nice human touch thus making it more believeable. Of course the horror portion has got the perfect mix of jumpscares, gore and mind benders. Not only the setting to the story is well written, but the complete story written is very well explained inturn adding a genre of thriller/suspense to the movie as well. The gore mind you may seem a bit much to some viewers but it all adds to the setting and not just for the 'kick'. Overall, if you're tired of watching the same old storyline in horror movies, this one would give a suprsing yet welcoming change of taste.",0,0,2018,Ari Aster,"Toni Collete, Alex Wolff",3.1,3.6,3,1.3,2.78,hereditry.png,psychopath,https://xmovies8.si/watch-hereditary-2018-1080p.93754-hd-online-free/watching.html,https://gdurl.com/dtwg,https://www.youtube.com/embed/V6wWKNij_1M
48,Coco,"Such a heartwarming movie this is! No wonder it got an Oscar for best animated film! It's about an aspiring musician Miguel, who is confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer. the charcters are all quirky yet have a depth to them thus it doesn't feel like watching 'just-another-kiddie-movie'! The story is wonderfully written with perfect highs and lows and a point perfect of a climax which will sure to leave you in tears! Don't make the mistake of dismissing this movie as 'movies I am too mature for! It has a lot to offer and will completely justify the time you spend on it!",1,0,2017,Lee Unkirch,NA,NA,3.5,2.4,3.3,3.1,coco.png,animated,https://xmovies8.si/watch-coco-2017-1080p.39489-hd-online-free/watching.html,https://gdurl.com/41gU,https://www.youtube.com/embed/xlnPHQ3TLX8
49,Nightcrawler,"A real blockbuster of a movie this is! It basically revolves around a con man Lou Bloom who is desperate for work and stumbles upon the high octane job of video journalism and in his bid to get to the top, the lines become blurry between being an observer to the crime and being a participant himself so as to become the star of his own story. The acting by Jake Gyllenhaal portraits the perfectly efficient psycho that the story demands. The nocturnal underbelly of LA provides the setting for this film and includes some good chase sequences and a no-nonsense approcah to the storyline. Overall, grab some popcorn and turn down the lights. This movie here is a full on thriller entertainment.",1,0,2014,Dan Gilroy,"Jake Gyllenhall, Rene Russo",3.1,3.2,2.8,1.3,2.6,nightcrawler.jpg,thriller,https://xmovies8.si/watch-nightcrawler-2014-1080p.63014-hd-online-free/watching.html,https://gdurl.com/iEyE,https://www.youtube.com/embed/UXnKOuUHQAI
50,Take me somewhere nice,"If the quote- 'It's the journey and not the destination that matters' is adjoined to a movie, this one might be it. It is about a teenage dutch girl who sets out on a journey in Bosina (her hometown but had to flee due to war) to find her father who's been terminally ill. Accompanying her are her cousin and his accquiantance. Not your essential road-trip movie, but it provides a youthful perspective to matters. The beauty here lies more in the complex dynamics between the 3 rather than the story itself. But the main selling point for me here is the magnificant cinematography- use of soft yet vivid colours, shooting in tight angles so as to just capture the essence, the 4:3 aspect ratio really adds to the setting. Also, the film does not feature any pan shots and has very few instances of having a background score- thus giving it a realistic feel. All-in-all, this dutch movie might not be for everyone, but it certainly provides a fresh outlook on the genre of movies whose center focus is travel/",0,0,2019,Ena Sendijarevic,Sara Luna Zoic,2.6,2.3,3.8,2.4,2.75,somewhere nice.jpg,international,,https://gdurl.com/UO6CM,https://www.youtube.com/embed/ccD2vK47RK8
51,1917,"A tour-de-force of a film this is! Making a war film always requires a humongous budget because of the sheer size, special effects and a pelothra of side actors. Not to mention the amount of time and work it must take to make it as realistic as possible. And 1917 comes as close to realism as any war movie possibly can! It portrays the life in the trenches during WW1 and the risks and hazards that the soldier must undertake. It has been made as a single shot movie (and thus commands greater respect as to how could Sam mendes possible shoot scenes in such narrow trenches!) The film also has beautiful instances of humanity and takes necessary pauses whereever required. The detailing is immaculate and really transports you to that erra and the cinematography makes you resonates with what the soldiers are feeling mentally. This is a must watch movie for the war-movie enthusiats out there!",0,0,2020,Sam Mendes,"George MacKay, Dean-Charles Chapman",3.3,3.7,4.4,2.3,3.42,1917.jpg,true-story,https://xmovies8.si/watch-1917-2019-1080p.13595-hd-online-free/watching.html,https://gdurl.com/D5I4,https://www.youtube.com/embed/YqNYrYUiMfg
52,Get Out,"The biggest mindbender of a movie on 2017 (possibly the decade?). You will never anticipate the ending in a million years! It is that good! The movie starts creating a sense of errieness and continuously gives off unsettling vibes. In the majority of the movie everyone's smilling but there's a constant sense of impending doom. The acting by Daniel Kaayula is just spectacular and at no point would you ever want to leave your seat! What makes this such a spectacular psychological horror is that this movie won't mess around with your brain. The clues are wide open for all to see. The thrill here would rather be the greater picture that these clues point to. It invovles Chris who has been invited to he girlfirend's parent's house for a party but slowly discovers there's a far sinister purpose to his visit. Even if you are a fan of horror/thriller or not, this is a must watch!",1,0,2017,Jordan Peel,"Daniel Kaluuya, Allison Williams",3.4,3.9,2.4,1.7,3,get out.jpg,psychopath,https://xmovies8.si/watch-get-out-2017-1080p-hd-online-free/watching.html,https://gdurl.com/hoNS,https://www.youtube.com/embed/AHEl7Pji0f8
